X,Y,portid,portname,country,ISO3,fullname,lat,lon,pageid,ObjectId
15726961.0233196,4638098.01564438,port502,Ishinomaki,Japan,JPN,"Ishinomaki, Japan",38.41415253,141.2776946,233b55df35d347a6855ff68aea29bccc,486
14720551.0289866,4056192.55324938,port508,Iwakuni,Japan,JPN,"Iwakuni, Japan",34.20374226,132.2369598,33f2f7c6855141868e79f0d0418e3bbb,487
14531921.6546505,3702143.98279645,port528,Kagoshima,Japan,JPN,"Kagoshima, Japan",31.53284272,130.5424733,b14939cc8ff64657810256f280b97f51,488
15795096.7114038,4760099.17184568,port533,Kamaishi,Japan,JPN,"Kamaishi, Japan",39.26776264,141.8897679,f752ec44f43c4a6fb8f9635a93213bd1,489
15207834.8342811,4385791.20561686,port537,Kanazawa,Japan,JPN,"Kanazawa, Japan",36.61653903,136.6143047,18df3c2a15cc460ab7dc6d21c7be6ae4,490
14582058.8401089,4004891.79526565,port538,Kanda,Japan,JPN,"Kanda, Japan",33.82174515,130.9928633,e737e5d25d6f4fb9b623f7f3e057d70f,491
14466515.6985918,3958708.60735089,port545,Karatsu,Japan,JPN,"Karatsu, Japan",33.47638831,129.9549216,04205bd36adc4af3b8016488bd73251a,492
15661530.2318825,4289146.56458749,port548,Kashima-Ibaraki,Japan,JPN,"Kashima-Ibaraki, Japan",35.91656249,140.6899198,46e987e39dcb4deca196d1d97fbab567,493
15556728.5751988,4232999.10315736,port555,Kawasaki,Japan,JPN,"Kawasaki, Japan",35.50702517,139.7484705,87b9c398e4b844c393989c6928f1cfec,494
14532598.4994184,3683236.35220827,port566,Kiire,Japan,JPN,"Kiire, Japan",31.38796044,130.5485535,752a57b10c8145689c3ed42aeddf5053,495
14790143.6665662,4036009.43148453,port567,Kikuma,Japan,JPN,"Kikuma, Japan",34.05365926,132.8621211,542e46f69c7e459194e3f2e15ffd4666,496
15245586.8247009,4146755.08554558,port575,Kinuura,Japan,JPN,"Kinuura, Japan",34.87387974,136.9534366,675b24651a0c44bb993a2661ef7124a4,497
15570046.5385147,4212778.39689926,port578,Kisarazu,Japan,JPN,"Kisarazu, Japan",35.35902147,139.8681078,85ecd33b9d534f678cc62d64e083b4bb,498
15053659.833089,4119523.33052932,port581,Kobe,Japan,JPN,"Kobe, Japan",34.67293989,135.2293271,82606f7e3e634f528cecce1287dd24ce,499
14868953.5579836,3965351.35706832,port584,Kochi,Japan,JPN,"Kochi, Japan",33.52614791,133.5700824,ac0e02204a20481bb345c4e248ece660,500
14983778.8335004,4035344.84068055,port589,Komatsushima,Japan,JPN,"Komatsushima, Japan",34.04871279,134.6015754,9ac22ff162bb44d2a6d8699bea9c6d70,501
14679512.1970178,4028547.50694982,port605,Kudamatsu,Japan,JPN,"Kudamatsu, Japan",33.99810448,131.8683017,9929d142d6654fc89508d076533a77a6,502
14757092.7539024,4059334.78142435,port610,Kure,Japan,JPN,"Kure, Japan",34.22708409,132.5652197,4d4ed79381764fcaa6aea7045dccf950,503
16069115.1037784,5310532.19541426,port611,Kushiro,Japan,JPN,"Kushiro, Japan",42.99054096,144.351317,bf88220a8bd7485f8d730275e2b07d36,504
15067618.7183732,4228609.74844316,port682,Maizuru,Japan,JPN,"Maizuru, Japan",35.47492079,135.3547219,ba51b688e9724fb9b903a41fde7cf30e,505
14890269.8935047,4067708.98150918,port714,Marugame,Japan,JPN,"Marugame, Japan",34.28925968,133.7615703,c33845cab8e143b5b46b43ca946b6e57,506
15200715.0845529,4116311.37452843,port719,Matsusaka,Japan,JPN,"Matsusaka, Japan",34.64920701,136.5503469,74cdc21545084b02abbbc4f7f5072b24,507
14771996.1961979,4004487.54207069,port720,Matsuyama,Japan,JPN,"Matsuyama, Japan",33.81872817,132.6990996,c00df6edbdd24f8499020691327b0a9e,508
15283154.1138215,4128071.6737381,port738,Mikawa,Japan,JPN,"Mikawa, Japan",34.73606977,137.2909093,aabb405fd8364c0b9c5de500938c4743,509
14867291.6693055,4029600.96420411,port749,Mishima,Japan,JPN,"Mishima, Japan",34.00594978,133.5551534,3a8e6943375a4748bb761706f7dca73a,510
14886120.1366588,4096184.22473829,port752,Mizushima,Japan,JPN,"Mizushima, Japan",34.50033451,133.7242924,dd434544df474a5b804469f755f791e0,511
15692924.6659955,5212964.6681326,port780,Muroran,Japan,JPN,"Muroran, Japan",42.34609537,140.9719408,5cf420d130a1486ebb2e2374656727df,512
14453800.8308812,3857463.30674786,port785,Nagasaki,Japan,JPN,"Nagasaki, Japan",32.71445214,129.840702,225ea224ab544c7f8531370d7aa332e8,513
15234081.0425076,4168799.68740707,port786,Nagoya,Japan,JPN,"Nagoya, Japan",35.03618543,136.8500784,2eba500a66ec4a67875e7c0e4348f343,514
15248590.6141807,4446835.5124385,port790,Nanao,Japan,JPN,"Nanao, Japan",37.0554277,136.9804201,b826db507b6d4e08b772453e415b4255,515
15391664.0899103,4466306.51748292,port793,Naoetsu,Japan,JPN,"Naoetsu, Japan",37.1948875,138.265671,9dd536f556394614836e089878c1df8b,516
15492337.1961111,4574569.61384566,port822,Niigata,Japan,JPN,"Niigata, Japan",37.96561578,139.1700329,8204588236d44ddda54f915191f62dde,517
14829818.9683562,4022849.29426865,port823,Niihama,Japan,JPN,"Niihama, Japan",33.95565623,133.2185304,c821d8f3b54a47faa6bd14af9afff06d,518
15584365.7093308,4895793.57710991,port829,Noshiro,Japan,JPN,"Noshiro, Japan",40.20511241,139.9967391,ede2844cc0514761b4bd4dfdc612ace2,519
15777216.2185702,4730724.33144727,port844,Ofunato,Japan,JPN,"Ofunato, Japan",39.06317108,141.7291447,e3228fd61ffd4648a30a2eb64df6280b,520
14659197.5921985,3929763.13258671,port846,Oita,Japan,JPN,"Oita, Japan",33.25922967,131.6858125,4820117337e64e2cb61bed01609e48ab,521
15683082.1639739,4430180.96539703,port850,Onahama,Japan,JPN,"Onahama, Japan",36.93593683,140.8835241,5e934fd29d9843bc9032ae6d5aeeacd2,522
14601604.5723372,4025440.0599228,port852,Onoda,Japan,JPN,"Onoda, Japan",33.9749585,131.1684456,142cbdcbcafa438b84fa80f6666b7420,523
14830079.1108743,4084716.79055358,port853,Onomichi-Itozaki,Japan,JPN,"Onomichi-Itozaki, Japan",34.41539534,133.2208673,658753a89bc242d59e1e21703814328e,524
